English Event Title,English Location,English One-sentence Summary,Spanish event title,Spanish Location,Spanish One-sentence Summary,German event title,German location,German one-sentence summary,Portuguese event title,Portuguese location,Portuguese one sentence summary,Italian event title,Italian location,Italian one sentence summary,Chinese event title,chinese location,chinese one sentence summary,japanese event title,Japanese location,Japanese one sentence summary
Celebration and Anger,Town Center,The townspeople sifted through the cousins; erudite proposal at the next town meeting and realized that they intended to support their ridiculous distrust of modern convenience.,Celebración y enojo,Centro de la ciudad,Los compañeros de la ciudad se tamizaron a través de los primos; Propuesta erudita en la próxima reunión de la ciudad y se dio cuenta de que pretendían apoyar a su ridícula desconfianza de la conveniencia moderna.,Feier und Wut.,Stadtzentrum,Die Stadtbewohner sahen durch die Cousins; Erudite-Vorschlag in der nächsten Town-Sitzung und erkannte dass sie ihr lächerliches Misstrauen von modernen Komfort unterstützen sollen.,Celebração e raiva,Centro da Cidade,As pessoas da cidade peneiravam os primos; Proposta erudita na próxima reunião da cidade e percebeu que pretendiam apoiar sua ridícula desconfiança de conveniência moderna.,Celebrazione e rabbia,Centro città,I cittadini si sono setacciati attraverso i cugini; Proposta erudita alla prossima riunione della città e ha capito che intendevano sostenere la loro ridicola sfiducia della comodità moderna.,庆祝和愤怒,市中心,镇抚养人们穿过表兄弟;在下一个城镇会议上的博学建议，意识到他们打算支持他们对现代便利性的荒谬不信任。,お祝いと怒り,中心街,町民はいとこを通して盛り上がった。次の町会議でのERUDITE提案と彼らが現代の利便性の彼らのばかげた不信を支持することを意図していることに気づきました。
No Effect,Bed Room,The unthinkable had been achieved.,Sin efecto,Cuarto,Se había logrado lo impensable.,Keine Wirkung,Schlafzimmer,Das undenkbare war erreicht worden.,Sem efeito,Quarto,O impensável foi alcançado.,Nessun effetto,Camera da letto,L'impensabile era stato raggiunto.,没有效果,卧室,不可想象的实现。,無効,ベッドルーム,考えられないほど達成されました。
Minor Deleterious Effect,Bed Room,They feared that their hasty solution had borne upon them irreversible effects. ,Efecto perjudicial menor,Cuarto,Temían que su solución apresurada hubiera asumido sobre ellos efectos irreversibles.,Geringfügige schädliche Wirkung,Schlafzimmer,Sie befürchteten dass ihre hackte Lösung von ihnen irreversible Effekte getragen hatte.,Efeito deletério menor,Quarto,Eles temiam que sua solução apressada tivesse suportado sobre eles efeitos irreversíveis.,Effetto deletero minore.,Camera da letto,Temero che la loro soluzione affrettata avesse a carico di loro effetti irreversibili.,轻微的有害效果,卧室,他们担心他们的仓促解决了他们不可逆转的效果。,軽微な効果,ベッドルーム,彼らは彼らの急な解決策が彼らに不可逆的な効果を担うことを恐れていました。
Major Deleterious Effect,Bed Room,Sick and unable to heal again stumbling blindly until the bones were brittle enough to snap their bodies had finally failed them.,Mayor efecto perjudicial,Cuarto,Enfermo e incapaz de curarse de nuevo tropezar con ciegas hasta que los huesos fueran lo suficientemente frágiles como para romper sus cuerpos finalmente los habían fallado.,Große schädliche Wirkung,Schlafzimmer,Kranke und nicht in der Lage wieder blind zu heilen bis die Knochen spröde genug waren um ihren Körper zu knüpfen hatten sie endlich gescheitert.,Efeito deletério maior,Quarto,Doente e incapaz de curar novamente tropeçando cegamente até que os ossos fossem frágeis o suficiente para tirar seus corpos haviam finalmente falhado.,Maggiore effetto deleterio,Camera da letto,Malato e incapace di guarire di nuovo inciampare ciecamente fino a quando le ossa erano abbastanza fragili da scattare i loro corpi gli avevano finalmente fallito.,重大有害效果,卧室,生病，无法盲目地努力治愈，直到骨头足够脆弱，以便抓住他们的身体终于失败了。,主な有害な効果,ベッドルーム,骨が皮を軽減するまで盲目的に盲目的につまずくことができず、つまずいた体はついにそれらを失敗させました。
One Last Attempt,Laboratory,Any player with a token that is not currently overtaken by the Angry Mob receives one final Perform Experiment action.,Un último intento,Laboratorio,Cualquier jugador con un token que actualmente no es superado por la MOB enojado recibe una acción final del experimento.,Ein letzter Versuch,Labor,Jeder Spieler mit einem Token das derzeit nicht vom wütenden Mob überholt wird erhält eine endgültige Durchführung von Experiment.,Uma última tentativa,Laboratório,Qualquer jogador com um token que não é atualmente ultrapassado pela mob de raiva recebe uma ação final de experimento.,Un ultimo tentativo,Laboratorio,Qualsiasi giocatore con un token che non è attualmente superato dalla folla arrabbiata riceve un'azione finale di esperimento.,最后一次尝试,实验室,任何具有目前被愤怒的暴徒那个令牌的玩家都会收到一个最后的执行实验行动。,最後の試み,実験室,怒っているMOBによって現在追い越されていないトークンを持つプレーヤーは、最終的な実行実験行動を1つ受け取ります。
A Cure for Yellow Fever,University,The notes from the lectures created a tableau of mixed reactions.,Una cura para la fiebre amarilla,Universidad,Las notas de las conferencias crearon un cuadro de reacciones mixtas.,Eine Heilung für gelbem Fieber,Universität,Die Anmerkungen von den Vorträgen erstellten ein Tableau mit gemischten Reaktionen.,Uma cura para febre amarela,Universidade,As notas das palestras criaram um Tableau de Reações Misto.,Una cura per la febbre gialla,Università,Le note dalle lezioni hanno creato un tableau di reazioni miste.,黄热病治愈,大学,讲座的票据创造了一种混合反应的表情。,黄熱病の治療法,大学,講義からのメモは、混合反応のタブローを作成しました。
Distrust in Medicine,Town Center,With the Hospital slowly falling into disrepair the church took great measures to warn the populace of the dangers of inoculation.,Desconfianza en medicina,Centro de la ciudad,Con el hospital cayendo lentamente en mal estado de interés la iglesia tomó grandes medidas para advertir a la población de los peligros de la inoculación.,Misstrauen in der Medizin.,Stadtzentrum,Wenn das Krankenhaus das langsam in das Versepaar fiel ergab die Kirche große Maßnahmen um die Bevölkerung der Gefahren der Inokulation zu warnen.,Desconfiança na medicina,Centro da Cidade,Com o hospital caindo lentamente em desrespeito a igreja tomou grandes medidas para avisar a população dos perigos da inoculação.,Sfiducia in medicina,Centro città,Con l'ospedale che cade lentamente in rovina della chiesa la Chiesa ha preso grandi misure per avvertire la popolazione dei pericoli dell'inoculo.,在医学中不信任,市中心,随着医院的慢慢堕落，教会采取了巨大的措施，警告了接种的危险的危险。,薬に不信,中心街,病院がゆっくりと不滅に落ちると、教会は接種の危険性のポピュラーを警告するための大きな措置を講じました。
April Fools Day,University,It was a fine summer morning when I heard a piercing scream from the garden The human figure that once tended to our garden was a sloshy pile of pink and white froth on the lawn.,Día de los Inocentes,Universidad,Fue una buena mañana de verano cuando escuché un grito penetrante del jardín La figura humana que una vez tendió a nuestro jardín era una pila slloshy de espuma rosa y blanca en el césped.,Erster April,Universität,Es war ein schöner Sommermorgen, als ich einen durchdringenden Schrei aus dem Garten hörte Die menschliche Figur die einst in unseren Garten kam war ein sloshiger Haufen von rosa und weißen Schaum auf dem Rasen.,Dia dos tolos de abril,Universidade,Foi uma boa manhã de verão quando ouvi um piercing grito do jardim a figura humana que uma vez tendia ao nosso jardim era uma pilha sloshy de espuma rosa e branca no gramado.,Primo d'Aprile,Università,E 'stata una bella mattina d'estate quando ho sentito un urlo piercing dal giardino la figura umana che una volta tendeva al nostro giardino era un cumulo snocciolato di schiuma rosa e bianca sul prato.,四月愚人节,大学,“当我听到花园里的尖刺尖叫时，这是一个晴朗的夏天早晨，”曾经往来往来往来的花园是一个邋and的粉红色和白色泡沫。,エイプリルフール,大学,私たちの庭に傾向があった人間の姿は、芝生の上のピンクと白の泡のスロイスの山だった人間の姿は、「夏の朝でした。
Whispers Abate,Estate,With the passing of the generation the hideous and well-founded rumors regarding the grisly demise and otherwise negative treatment of servants within the family's households faded into history. ,Susurros abate,Inmuebles,Con el paso de la generación los rumores horribles y fundados con respecto a la desaparición espantosa y el tratamiento negativo de los servidores dentro de los hogares de la familia se desvanecieron en la historia.,Flüstert ab,Immobilien,Mit dem Durchgang der Generation sind die abscheulichen und gegründeten Gerüchte in Bezug auf den grausigen Tod und ansonsten negative Behandlung von Dienern innerhalb der Haushalte der Familie in die Geschichte verblasst.,Sussurros abate,Estado,Com a passagem da geração os rumores hediondos e bem fundamentados em relação à morte terrível e de outra forma o tratamento negativo dos servos dentro das famílias da família desapareceu na história.,Sussurra Abate.,Tenuta,Con il passaggio della generazione le voci orribili e ben fondate riguardanti la scomparsa e il trattamento altrimenti negativo dei servitori all'interno delle famiglie della famiglia svanito nella storia.,耳语萎缩,财产,随着生成的通过，丑陋地创立的谣言有关的丑陋消亡和否则家庭家庭内仆人的负面处理逐渐消失。,ささやき,エステート,世代の通過に伴い、家族の世帯の中での身体の脱退、そうでなければ否定的な扱いを伴う恐ろしい根拠の噂が歴史に陥った。
Research Completed,Laboratory,It seemed unimaginable; not simply a cure for all disease but a mysterious contrivance to extend life indefinitely.,Investigación completada,Laboratorio,Parecía inimaginable; No simplemente una cura para toda la enfermedad sino un misterioso contrivimiento para extender la vida indefinidamente.,Forschung abgeschlossen,Labor,Es schien unvorstellbar; Nicht einfach ein Heilmittel für alle Krankheiten sondern eine geheimnisvolle Substanz um das Leben auf unbestimmte Zeit zu verlängern.,Pesquisa concluída,Laboratório,Parecia inimaginável; Não simplesmente uma cura para toda a doença mas uma misteriosa invasor para estender a vida indefinidamente.,Ricerca completata,Laboratorio,Sembrava inimmaginabile; Non semplicemente una cura per tutte le malattie ma un misterioso congegno per estendere la vita indefinitamente.,研究完成了,实验室,它似乎难以想象;不仅仅是对所有疾病的治愈，而且是一种神秘的设计，无限期地延长生命。,リサーチ完了,実験室,それは想像できないようでした。単にすべての病気の治療法ではなく、無期限に人生を延ばすための神秘的な工夫です。
Advancements in Chemistry,Laboratory,It was not unheard of for the family to submit discoveries to journals which resulted in visits from interested parties.,Avances en Química,Laboratorio,No era desconocido para que la familia presentara descubrimientos a revistas que resultaban en visitas de las partes interesadas.,Fortschritte in der Chemie,Labor,Es war nicht unbekannt dass die Familie keine Entdeckungen an Zeitschriften einreichen die zu Besuche von interessierten Parteien führten.,Avanços em química,Laboratório,Não foi inédito para a família enviar descobertas para os periódicos que resultaram em visitas das partes interessadas.,Avanzamenti in Chimica,Laboratorio,Non è stato inaudito per la famiglia presentare scoperte alle riviste che hanno portato a visite alle parti interessate.,化学的进步,实验室,对于家庭向有关各方访问的期刊提交发现并不闻所未闻。,化学の進歩,実験室,興味のある締約国からの訪問をもたらした雑誌に発見を提出するのは、家族が発見を提出することは前提としていませんでした。
A Collection of Esteemed Colleagues,University,The journey to the newly created city of Budapest for the Engineering Symposium was uncharacteristically dour. ,Una colección de colegas estimados.,Universidad,El viaje a la Ciudad de Budapest recién creada para el Simposio de Ingeniería no fue comprensiva.,Eine Sammlung von geschätzten Kollegen,Universität,Die Reise in die neu geschaffene Stadt Budapest für das Engineering-Symposium war uncharakteristisch dour.,Uma coleção de colegas estimados,Universidade,A jornada para a cidade recém-criada de Budapeste para o simpósio de engenharia foi desossisticamente dour.,Una collezione di colleghi stimati,Università,Il viaggio verso la città appena creata di Budapest per il simposio ingegneristico era insolitamente dour.,一系列尊敬的同事,大学,新创建的新布达佩斯城市的工程研讨会之旅是一种不具像令人沮丧的。,尊敬される同僚のコレクション,大学,工学シンポジウムのための新しく創造されたブダペストの市への旅は特徴的には不十分でした。
For the Advancement of Chemistry,Eastern Europe,Each cousin presents their work at the lecture series.,Para el avance de la química.,Europa del Este,Cada prima presenta su trabajo en la serie de conferencias.,Für die Weiterentwicklung der Chemie,Osteuropa,Jeder Cousin präsentiert ihre Arbeit in der Vortragsreihe.,Para o avanço da química,Europa Oriental,Cada primo apresenta seu trabalho na série de palestras.,Per il progresso della chimica,Europa orientale,Ogni cugino presenta il loro lavoro presso la serie di conferenze.,为了提高化学,东欧洲,每个表弟都在讲座系列中展示了他们的工作。,化学の進歩のために,東ヨーロッパ,各コーシンは講義シリーズで彼らの仕事を提示します。
The Fate of the Lecture Series,Laboratory,The lecture series comes to a close.,El destino de la serie de conferencias.,Laboratorio,La serie de conferencias se acerca.,Das Schicksal der Vortragsreihe,Labor,Die Vortragsreihe kommt in der Nähe.,O destino da série de palestras,Laboratório,A série de palestras chega ao fim.,Il destino della serie di lezioni,Laboratorio,La serie di conferenze si avvicina.,讲座系列的命运,实验室,讲座系列贴近。,講義シリーズの運命,実験室,講義シリーズが近づく。
Symposium Success,Laboratory, Despite a lack of traditional form the professors all agreed that it was the inexorably excitable demeanor of the cousins that so enamored them.,Éxito del simposio,Laboratorio, A pesar de la falta de forma tradicional todos los profesores acordaron que era el comportamiento inexorablemente excitable de los primos que los enamorionaban.,Symposiumerfolg.,Labor, Trotz eines mangelnden traditionellen Formulars stimmten die Professoren zu dass es das unbördlich anregbare Verhalten der Cousins ​​war das sie so verliebte.,Sucesso do Simpósio.,Laboratório, Apesar da falta de forma tradicional os professores concordaram que era o comportamento inexoravelmente excitável dos primos que os enameiam.,Successo del simposio,Laboratorio, Nonostante la mancanza di forma tradizionale i professori sono tutti concordati dal fatto che fosse l'inesorabilmente eccitabile il comportamento dei cugini che li innamorati.,研讨会成功,实验室, 尽管缺乏传统的形式，但教授都同意这是表兄弟的不可原激发的令人兴奋的风度如此迷恋。,シンポジウム成功,実験室, 伝統的な形の欠如にもかかわらず、教授はそれが彼らを夢中になっていたいとこの容赦のない卑劣な態度だったことに同意しました。
Lack of Hospitality,General Hospital,Lack of participation in the Hospital Board of Trustees needed to be reckoned.,Falta de hospitalidad,Hospital General,La falta de participación en la Junta de Fideicomisarios del Hospital que debía considerarse Mangel an Gastfreundschaft Allgemeinkrankenhaus Mangel an Beteiligung am Krankenhausrat der Treuhänder musste rechtztet.,Falta de hospitalidade,Hospital Geral,A falta de participação no conselho hospitalar de curadores precisava ser contado.,Mancanza di ospitalità,Policlinico,Mancanza di partecipazione al consiglio di amministrazione ospedaliero necessario per essere considerato,缺乏款待,综合医院,缺乏参与医院受托人所需的董事会被估计,おもてなしの欠如,総合病院,受講者の入院委員会への参加の欠如
The Allure of Discovery,Estate,The potential for scientific advancement was too strong to ignore.,El encanto del descubrimiento,Inmuebles,El potencial para el avance científico fue demasiado fuerte para ignorarlo.,Die Reiz der Entdeckung,Immobilien,Das Potenzial für wissenschaftliche Fortschritte war zu stark um es zu ignorieren.,O fascínio de descoberta,Estado,O potencial de avanço científico era forte demais para ignorar.,Il fascino della scoperta,Tenuta,Il potenziale per il progresso scientifico era troppo forte per ignorare.,发现的诱惑,财产,科学进步的潜力太强大，无法忽视。,発見の魅力,エステート,科学的進歩の可能性は無視するには強すぎました。
Legacy of Leadership,University,The village arranged a large parade to christen the construction of the new university.,Legado de liderazgo,Universidad,El pueblo organizó un gran desfile para bautizar la construcción de la nueva universidad.,Erbe der Führung.,Universität,Das Dorf arrangierte eine große Parade um den Bau der neuen Universität zu tauschen.,Legado da liderança,Universidade,A aldeia organizou uma grande parada para christ a construção da nova universidade.,Legacy of leadership.,Università,Il villaggio ha organizzato una grande parata per battere la costruzione della nuova università.,领导的遗产,大学,该村安排了一个大型游行来克里斯滕的建设。,リーダーシップの遺産,大学,村は新しい大学の建設を創造するために大型パレードを配しました。
Immortality,Estate,The cousins attempt to claim an inheritance.,Inmortalidad,Inmuebles,Los primos intentan reclamar una herencia.,Unsterblichkeit,Immobilien,Die Cousins ​​versuchen ein Erbschaft zu beanspruchen.,Imortalidade,Estado,Os primos tentam reivindicar uma herança.,Immortalità,Tenuta,I cugini tentano di rivendicare un'eredità.,不朽,财产,表兄弟试图要求遗产。,不死,エステート,いとこは継承を主張しようとしています。
The Guiding hand of Science,University,The university decides to provide an “equitable” boost to amplify the standing of lesser-known scientists.,La mano guía de la ciencia,Universidad,La universidad decide proporcionar un impulso equitativo para amplificar la posición de los científicos menos conocidos.,Die leitende Hand der Wissenschaft,Universität,Die Universität beschließt, einen gerechten Boost zur Verfügung stellen um den Stand neuer wissenschaftlicher Wissenschaftler zu verstärken.,A mão guia da ciência,Universidade,A universidade decide fornecer um impulso equitativo para ampliar a posição de cientistas menos conhecidos.,La mano guida della scienza,Università,L'Università decide di fornire un potenziamento equo per amplificare la posizione di scienziati meno conosciuti.,科学的指导手,大学,该大学决定提供“公平”提升，以放大较鲜为人知的科学家的立场。,科学の手を案内します,大学,大学は、より小さな知られた科学者の立場を増幅するための「公平な」ブーストを提供することを決定します。
Another Opportunity,House,The university consulted with the family on matters of progressive importance.,Otra oportunidad,casa,La universidad consultó con la familia sobre asuntos de importancia progresiva.,Eine andere Gelegenheit,Haus,Die Universität konsultierte mit der Familie auf Angelegenheiten von fortschrittlicher Bedeutung.,Outra oportunidade,lar,A universidade consultou a família em questões de importância progressiva.,Un'altra opportunità,Casa,L'Università ha consultato la famiglia in materia di importanza progressiva.,另一个机会,屋,大学与家庭咨询了逐步重要性的事项。,もう一つの機会,家,大学は漸進的な重要性の問題について家族と相談しました。
Ignored Amongst the Scientific Elite,Street,With combined efforts the cousins plan to create the ''ultimate disease''.,Ignorado entre la élite científica,calle,Con esfuerzos combinados los primos planean crear la '' enfermedad final ''.,Unter der wissenschaftlichen Elite ignoriert,Straße,Mit kombinierten Bemühungen planen die Cousins die ultimative Krankheit zu schaffen.,Ignorado entre a elite científica,rua,Com esforços combinados os primos planejam criar a doença final.,Ignorato tra l'élite scientifica,strada,Con gli sforzi combinati i cugini pianificano di creare la malattia definitiva.,在科学精英中忽略了,街道,随着堂兄弟计划创造“最终疾病”的努力。,科学エリートの中で無視されています,通り,取り組みが「究極の病気」を作成することを計画しています。
The Effects of Immortality,A Mysterious Place,The dangers of defying God and the natural order of all things. Immortality could never be sustained forever without some great sacrifice.,Los efectos de la inmortalidad.,Un lugar misterioso,Los peligros de desafiar a Dios y el orden natural de todas las cosas. La inmortalidad nunca podría ser sostenida para siempre sin un gran sacrificio.,Die Auswirkungen der Unsterblichkeit,Ein geheimnisvoller Ort,Die Gefahren Gott und die natürliche Ordnung aller Dinge zu trotzen. Die Unsterblichkeit könnte niemals für immer ohne großes Opfer aufrechterhalten werden.,Os efeitos da imortalidade,Um lugar misterioso,Os perigos de desafiar a Deus e a ordem natural de todas as coisas. A imortalidade nunca poderia ser sustentada para sempre sem algum grande sacrifício.,Gli effetti dell'immortalità,Un posto misterioso,I pericoli di sfidare Dio e l'ordine naturale di tutte le cose. L'immortalità non potrebbe mai essere sostenuta per sempre senza un grande sacrificio.,不朽的影响,一个神秘的地方,捍卫上帝和所有事物的自然秩序的危险。没有一些伟大的牺牲，永远不会永远持续不朽。,不死の影響,不思議な場所,神を守る危険性とすべてのものの自然な順序。不滅は、いくつかの大きな犠牲なしに永遠に持続することはできませんでした。
Minor Deleterious Effect,Village,They feared that their hasty solution had borne upon them irreversible effects. ,Efecto perjudicial menor,Pueblo,Temían que su solución apresurada hubiera asumido sobre ellos efectos irreversibles.,Geringfügige schädliche Wirkung,Dorf,Sie befürchteten dass ihre hackte Lösung von ihnen irreversible Effekte getragen hatte.,Efeito deletério menor,Vila,Eles temiam que sua solução apressada tivesse suportado sobre eles efeitos irreversíveis.,Effetto deletero minore.,Villaggio,Temero che la loro soluzione affrettata avesse a carico di loro effetti irreversibili.,轻微的有害效果,村庄,他们担心他们的仓促解决了他们不可逆转的效果。,軽微な効果,村,彼らは彼らの急な解決策が彼らに不可逆的な効果を担うことを恐れていました。
The Ultimate Disease,Laboratory,The cousins assemble to finalize their creation,La enfermedad definitiva,Laboratorio,Los primos se reúnen para finalizar su creación.,Die ultimative Krankheit,Labor,Die Cousins ​​montieren um ihre Schöpfung abzuschließen,A doença final.,Laboratório,Os primos se montam para finalizar sua criação,La malattia ultima,Laboratorio,I cugini si assemblano per finalizzare la loro creazione,终极疾病,实验室,表兄弟组织弥合他们的创作,究極の病気,実験室,いとこは彼らの創造を確定するために集まります
A Wondrous Success,Farmer's Market,By creating a disease that included all known symptoms the cousins had essentially inoculated the populace against all disease simultaneously.,Un maravilloso éxito,Mercado de agricultores,Al crear una enfermedad que incluyó todos los síntomas conocidos los primos habían inoculado esencialmente la población contra toda la enfermedad simultáneamente.,Ein wundersamer Erfolg,Bauernmarkt,Durch die Schaffung einer Krankheit, die alle bekannten Symptome umfasste hatten die Cousins ​​die Bevölkerung die Bevölkerung im Wesentlichen gegen alle Krankheiten gleichzeitig inokuliert.,Um sucesso maravilhoso,Mercado do fazendeiro,Criando uma doença que incluiu todos os sintomas conhecidos os primos tinham essencialmente inoculou a população contra todas as doenças simultaneamente.,Un meraviglioso successo,Mercato degli agricoltori,Creando una malattia che includeva tutti i sintomi noti che i cugini avevano essenzialmente inoculato la popolazione contro tutte le malattie simultaneamente.,一个奇妙的成功,农贸市场,通过创造包含所有已知症状的疾病，表兄弟基本上同时接种了所有疾病的群体。,不思議な成功,農家の市場,既知のすべての症状を含む疾患を創出することによって、いとこは同時にすべての疾患に対して本質的に膿瘍を接種した。
To Quell the Mind,Laboratory,The siblings' scientific labors caused their brains to wander and ache for relief,Para sofocar la mente,Laboratorio,Los 'labores científicos de los hermanos causaron que sus cerebros vaguen y duelen por alivio.,Den Geist abgeben,Labor,Die wissenschaftlichen Arbeit der Geschwister führten dazu dass ihre Gehirne zum Erleichtern wandern und schmerzen,Para resfriar a mente,Laboratório,Os trabalhos científicos dos irmãos fizeram com que seus cérebros vagassem e doem por alívio,Per distrecciare la mente,Laboratorio,Le fatiche scientifiche dei fratelli dei fratelli hanno causato il loro cervello a vagare e del male per rilievi,平息心灵,实验室,兄弟姐妹的科学劳动力导致他们的大脑徘徊和痛苦,心を鎮めるために,実験室,兄弟の科学労働者は彼らの脳がさまようと救済のために痛みを起こしました
Time is Precious,Estate,The cousins convinced that their obsession was more important than self-preservation,El tiempo es oro,Inmuebles,Los primos convencieron de que su obsesión era más importante que la autoconservación.,Zeit ist kostbar,Immobilien,Die Cousins ​​überzeugten dass ihre Obsession wichtiger war als die Selbsterhaltung,O tempo é precioso,Estado,Os primos convenceram de que sua obsessão era mais importante que a autopreservação,Il tempo è prezioso,Tenuta,I cugini hanno convinto che la loro ossessione fosse più importante dell'auto-conservazione,时间是珍贵的,财产,表兄弟确信他们的痴迷比自我保护更重要,時間は貴重です,エステート,いとこは、彼らのこだわりが自己保存よりも重要であると確信していた
The Town Is in Need of Direction,Village,After the untimely death of the current mayor (and the previous three) the town was once again embroiled in politics.,La ciudad necesita la dirección.,Pueblo,Después de la muerte prematura del alcalde actual (y los tres anteriores) la ciudad se envolvió una vez más en la política.,Die Stadt braucht Richtung,Dorf,Nach dem vorzeitigen Tod des aktuellen Bürgermeisters (und der vorherigen drei) wurde die Stadt erneut in der Politik verwickelt.,A cidade precisa de direção,Vila,Após a morte prematantemente do prefeito atual (e os três anteriores) a cidade foi novamente envolvida na política.,La città ha bisogno di direzione,Villaggio,Dopo la morte prematura del sindaco attuale (e dei tre precedenti) la città era ancora una volta coinvolta in politica.,该镇需要方向,村庄,在当前市长（和前三个）的不合时宜的死亡之后，该镇再次在政治中兴起。,町は方向性を必要としています,村,現在の市長（そして前の3つ）の不適切な死後、町は再び政治を刺繍した。
Humble Beginnings,Village,The family had made their first mark on the history of the town for good or ill.,Principios humildes,Pueblo,La familia había hecho su primera marca en la historia de la ciudad para siempre o enfermo.,Bescheidenen Anfängen,Dorf,Die Familie hatte ihre erste Marke in der Geschichte der Stadt für gut oder krank gemacht.,Origens humildes,Vila,A família tinha feito sua primeira marca na história da cidade para o bem ou doente.,Umili origini,Villaggio,La famiglia aveva fatto il loro primo segno sulla storia della città per il bene o il malato.,谦卑的开端,村庄,这个家庭在镇上的历史上做了一个好的或生病了。,謙虚な始まり,村,家族は善や病気のために町の歴史に彼らの最初の跡を作りました。
Direction of the Town,Office,The mayor chooses between building a bank or a library.,Dirección de la ciudad,Oficina,El alcalde elige entre construir un banco o una biblioteca.,Richtung der Stadt,Büro,Der Bürgermeister wählt zwischen dem Aufbau einer Bank oder einer Bibliothek.,Direção da cidade,Escritório,O prefeito escolhe entre construir um banco ou uma biblioteca.,Direzione della città,Ufficio,Il sindaco sceglie tra la costruzione di una banca o una biblioteca.,镇的方向,办公室,市长在建立银行或图书馆之间选择。,町の方向,オフィス,市長は、銀行または図書館の建設を選択します。
Financial Woes,Village,The village of Xvillage was for lack of a more appropriate term agricultural in its funds and like many similar small villages were woefully unprepared for the ravages of disease.,Problemas financieros,Pueblo,La aldea de Testville fue por falta de un término agrícola más apropiado en sus fondos y como muchos pueblos pequeños similares estaba lamentablemente sin preparar para los estragos de la enfermedad.,Finanzielle Beute,Dorf,Das Dorf Xvillage war für den Mangel an einem angemesseneren Begriff landwirtschaftlich in seinen Mitteln und wie viele ähnliche kleine Dörfer wurden auf die Verwüstungen der Krankheit wesentlich nicht vorbereitet.,Desgraças financeiras.,Vila,A aldeia de Xvillage foi por falta de um termo mais apropriado agrícola em seus fundos e como muitas pequenas aldeias semelhantes desconhecidas despreparadas para os estragos da doença.,Woes finanziari,Villaggio,Il villaggio di Xvillage è stato per mancanza di un termine più appropriato agricolo nei suoi fondi e come molti piccoli villaggi simili erano dolorosamente impreparati per le devastazioni della malattia.,金融困境,村庄,村是由于其基金中缺乏更适合的农业农业，而且许多类似的小村庄因疾病的蹂躏而毫不准备。,財務兵,村,テストヴィレージの村は、その資金でより適切な用語の農業の欠如のために、そして多くの類似の小さな村が疾患の暴走のために不正行為的ではなかった。
Thriving in Adversity,Mountains,Thanks to their predecessors' aid the town had become rejuvenated. The new hospital had become a site of great hope and strength for the people. ,próspero en la adversidad,Montañas,Gracias a la ayuda de sus predecesores la ciudad se había rejuvenecido. El nuevo hospital se había convertido en un sitio de gran esperanza y fortaleza para las personas.,Widrigkeiten gedeihen,Berge,Dank ihrer Vorgängerhilfe war die Stadt verjüngt geworden. Das neue Krankenhaus war zu einem Ort großer Hoffnung und Kraft für die Menschen geworden.,prosperando na adversidade,Montanhas,Graças à ajuda de seus antecessores a cidade se tornou rejuvenescida. O novo hospital se tornou um local de grande esperança e força para as pessoas.,fiorente nelle avversità,Montagne,Grazie all'aiuto dei loro predecessori la città era ringiovanita. Il nuovo ospedale era diventato un sito di grande speranza e forza per le persone.,在逆境中蓬勃发展,山,由于他们的前辈援助，该镇已经变得恢复活力。新医院已成为人民希望和实力的遗址。,逆境への繁栄,山脈,彼らの前任者の援助のおかげで、町は若返られました。新しい病院は人々のための偉大な希望と強さの敷地になりました。
Planned Destruction,Estate,A deeply seated rivalry exists between the young entrepreneurs,Destrucción planificada,Inmuebles,Existe una rivalidad profundamente sentada entre los jóvenes empresarios.,Geplante Zerstörung.,Immobilien,Eine tief sitzende Rivalität existiert zwischen den jungen Unternehmern,Destruição planejada,Estado,Uma rivalidade profundamente sentada existe entre os jovens empreendedores,Distruzione pianificata,Tenuta,Esiste una rivalità profondamente seduta tra i giovani imprenditori,计划毁灭,财产,年轻的企业家之间存在深深的竞争对手,計画された破壊,エステート,若い起業家の間に深く座った競争が存在します
Advancements in Engineering,Laboratory,It was not unheard of for the family to submit discoveries to journals which resulted in visits from interested parties.,Avances en ingeniería.,Laboratorio,No era desconocido para que la familia presentara descubrimientos a revistas que resultaban en visitas de las partes interesadas.,Fortschritte in der Engineering.,Labor,Es war nicht unbekannt dass die Familie keine Entdeckungen an Zeitschriften einreichen die zu Besuche von interessierten Parteien führten.,Avanços em Engenharia,Laboratório,Não foi inédito para a família enviar descobertas para os periódicos que resultaram em visitas das partes interessadas.,Avanzamenti in ingegneria,Laboratorio,Non è stato inaudito per la famiglia presentare scoperte alle riviste che hanno portato a visite alle parti interessate.,工程方面的进步,实验室,对于家庭向有关各方访问的期刊提交发现并不闻所未闻。,工学における進歩,実験室,興味のある締約国からの訪問をもたらした雑誌に発見を提出するのは、家族が発見を提出することは前提としていませんでした。
